trackingId,senderName,receiverName,receiverAddress,pickupRider,zone,deliveryRider,status,warehouseAt,sortedAt,dispatchedAt,deliveredAt,userId,replyToken,requestedAt
TX110,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 09:20:00,2025-06-05 09:21:00,2025-06-05 09:22:00,2025-06-05 10:03:00,,,
TX111,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:22:00,2025-06-05 09:23:00,2025-06-05 09:24:00,2025-06-05 10:02:00,,,
TX112,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:24:00,2025-06-05 09:25:00,2025-06-05 09:26:00,2025-06-05 10:00:00,,,
TX113,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:26:00,2025-06-05 09:27:00,2025-06-05 09:28:00,2025-06-05 10:02:00,,,
TX114,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:28:00,2025-06-05 09:29:00,2025-06-05 09:30:00,2025-06-05 09:43:00,,,
TX115,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:30:00,2025-06-05 09:31:00,2025-06-05 09:32:00,2025-06-05 09:51:00,,,
TX116,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:32:00,2025-06-05 09:33:00,2025-06-05 09:34:00,2025-06-05 09:46:00,,,
TX117,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 09:34:00,2025-06-05 09:35:00,2025-06-05 09:36:00,2025-06-05 09:48:00,,,
TX118,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 09:36:00,2025-06-05 09:37:00,2025-06-05 09:38:00,2025-06-05 10:29:00,,,
TX119,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 09:38:00,2025-06-05 09:39:00,2025-06-05 09:40:00,2025-06-05 10:40:00,,,
TX120,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 09:40:00,2025-06-05 09:41:00,2025-06-05 09:42:00,2025-06-05 10:33:00,,,
TX121,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:42:00,2025-06-05 09:43:00,2025-06-05 09:44:00,2025-06-05 10:06:00,,,
TX122,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:44:00,2025-06-05 09:45:00,2025-06-05 09:46:00,2025-06-05 10:34:00,,,
TX123,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:46:00,2025-06-05 09:47:00,2025-06-05 09:48:00,2025-06-05 10:28:00,,,
TX124,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 09:48:00,2025-06-05 09:49:00,2025-06-05 09:50:00,2025-06-05 10:00:00,,,
TX125,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:50:00,2025-06-05 09:51:00,2025-06-05 09:52:00,2025-06-05 10:33:00,,,
TX126,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 09:52:00,2025-06-05 09:53:00,2025-06-05 09:54:00,2025-06-05 10:31:00,,,
TX127,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:54:00,2025-06-05 09:55:00,2025-06-05 09:56:00,2025-06-05 10:42:00,,,
TX128,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:56:00,2025-06-05 09:57:00,2025-06-05 09:58:00,2025-06-05 10:43:00,,,
TX129,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:58:00,2025-06-05 09:59:00,2025-06-05 10:00:00,2025-06-05 10:35:00,,,
TX130,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 10:00:00,2025-06-05 10:01:00,2025-06-05 10:02:00,2025-06-05 11:00:00,,,
TX131,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 10:02:00,2025-06-05 10:03:00,2025-06-05 10:04:00,2025-06-05 10:50:00,,,
TX132,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 10:04:00,2025-06-05 10:05:00,2025-06-05 10:06:00,2025-06-05 10:33:00,,,
TX133,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 10:06:00,2025-06-05 10:07:00,2025-06-05 10:08:00,2025-06-05 11:07:00,,,
TX134,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 10:08:00,2025-06-05 10:09:00,2025-06-05 10:10:00,2025-06-05 10:47:00,,,
TX135,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 10:10:00,2025-06-05 10:11:00,2025-06-05 10:12:00,2025-06-05 10:57:00,,,
TX136,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 10:12:00,2025-06-05 10:13:00,2025-06-05 10:14:00,2025-06-05 10:38:00,,,
TX137,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 10:14:00,2025-06-05 10:15:00,2025-06-05 10:16:00,2025-06-05 11:07:00,,,
TX138,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 10:16:00,2025-06-05 10:17:00,2025-06-05 10:18:00,2025-06-05 10:38:00,,,
TX139,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 10:18:00,2025-06-05 10:19:00,2025-06-05 10:20:00,2025-06-05 10:30:00,,,
TX140,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 10:20:00,2025-06-05 10:21:00,2025-06-05 10:22:00,2025-06-05 11:21:00,,,
TX141,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 10:22:00,2025-06-05 10:23:00,2025-06-05 10:24:00,2025-06-05 10:48:00,,,
TX142,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 10:24:00,2025-06-05 10:25:00,2025-06-05 10:26:00,2025-06-05 10:57:00,,,
TX143,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 10:26:00,2025-06-05 10:27:00,2025-06-05 10:28:00,2025-06-05 10:52:00,,,
TX144,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 10:28:00,2025-06-05 10:29:00,2025-06-05 10:30:00,2025-06-05 11:22:00,,,
TX145,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 10:30:00,2025-06-05 10:31:00,2025-06-05 10:32:00,2025-06-05 10:50:00,,,
TX146,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 10:32:00,2025-06-05 10:33:00,2025-06-05 10:34:00,2025-06-05 11:06:00,,,
TX147,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 10:34:00,2025-06-05 10:35:00,2025-06-05 10:36:00,2025-06-05 11:26:00,,,
TX148,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 10:36:00,2025-06-05 10:37:00,2025-06-05 10:38:00,2025-06-05 10:51:00,,,
